Country_Code,Country,Reference_Date,NO_CASES,Region,cases_normalized_percentage,flag
VGB,Virgin Islands,1989,1,LATIN AMER. & CARIB,0.0009207679204456517,🇻🇬
VNM,Vietnam,1994,75,ASIA (EX. NEAR EAST),8.885943652738459e-05,🇻🇳
VNM,Vietnam,1995,131,ASIA (EX. NEAR EAST),0.00015520781580116507,🇻🇳
VNM,Vietnam,1995,292,ASIA (EX. NEAR EAST),0.00034595940621328405,🇻🇳
VNM,Vietnam,2012,59839,ASIA (EX. NEAR EAST),0.07089679763149556,🇻🇳
VNM,Vietnam,2010,37184,ASIA (EX. NEAR EAST),0.04405532383779025,🇻🇳
VNM,Vietnam,1996,701,ASIA (EX. NEAR EAST),0.0008305395334092881,🇻🇳
VNM,Vietnam,2005,16917,ASIA (EX. NEAR EAST),0.020043134503116868,🇻🇳
VUT,Vanuatu,2004,2,OCEANIA,0.0009575379783500663,🇻🇺
WLF,Wallis and Futuna,2004,1,OCEANIA,0.006240249609984399,🇼🇫
WLF,Wallis and Futuna,1995,1,OCEANIA,0.006240249609984399,🇼🇫
WSM,Samoa,2004,8,OCEANIA,0.004522124494087322,🇼🇸
WSM,Samoa,1995,2,OCEANIA,0.0011305311235218305,🇼🇸
ZAF,South Africa,1987,77,SUB-SAHARAN AFRICA,0.00017425688547228717,🇿🇦
ZAF,South Africa,1988,175,SUB-SAHARAN AFRICA,0.00039603837607338,🇿🇦
ZMB,Zambia,1987,395,SUB-SAHARAN AFRICA,0.003434182373341703,🇿🇲
